drug_name,CanonicalSMILES,DepMap_ID,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,predicted ln(IC50),Top10 genes,Top10 pathways
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000001,OVCAR-3,905933,OV,urogenital_system,ovary,,1.9311937,"AVPR1B, NPR1, COL9A1, FGF18, CD47, NLGN4X, CLDN16, AKT2, TACR1, GADD45A",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000002,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,,1.3013859,"CAPN1, MYL12B, INHBC, PFKL, MAPK12, BCL2L11, PLCB2, TAF5, LILRB2, TNFRSF13C",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000006,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,,0.71941435,"FLT3, PRL, IFNA5, CCL25, CX3CL1, PLA2G2C, HRC, CXCL14, EGFR, DDB1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000007,LS-513,907795,COREAD,digestive_system,large_intestine,,0.55888045,"CCL24, FASLG, AQP7, IL34, VHL, FABP1, PIK3R1, FABP5, ACVR2A, CCL15",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000008,A101D,910921,SKCM,skin,melanoma,,1.4409119,"IL37, PLA1A, DCT, MPZ, NGFR, FREM1, FLT1, CADM3, KDR, IL24",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000009,C2BBe1,910700,COREAD,digestive_system,large_intestine,,1.934882,"WEE2, APOA2, LRP2, NOS2, PLA2G12B, VTN, FLNC, SIAH1, FLT4, UBE2G1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000012,HCC-827,1240146,LUAD,lung,lung_NSCLC_adenocarcinoma,,-2.4833448,"EPHA2, ACSBG1, IL11RA, CRK, ARPC1B, ENAH, CUL1, LIMK1, HSPB1, LEPR",hsa04151
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000015,NCI-H1581,908471,UNCLASSIFIED,lung,lung_NSCLC_large_cell,,2.3079674,"LILRB3, IL13, ERN1, FAS, LTA, MOS, EFNA2, TFF1, CDKN2A, MYLK4",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000019,MCF7,905946,BRCA,breast,breast,,2.8314483,"HTR1E, RPS6KB1, DRD1, TAF1L, ADCY5, NPY1R, TRIM37, RAD51C, PRLR, BRIP1",
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000020,MHH-CALL-2,908132,UNCLASSIFIED,blood,B_cell_leukemia,,1.0709008,"FGF16, DNTT, CD1C, CD72, TCL1A, FLT3, CD19, STIM2, CCL25, P2RX1",hsa04810
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,ACH-000021,NCI-H1693,687802,LUAD,lung,lung_NSCLC_adenocarcinoma,,0.38294485,"PFN4, RAD51C, GTF2H5, ERCC8, SMC1B, GTF2H2, TAF9, HHAT, CRKL, CTNNA3",
